datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
2023-12-01 09:15:00,NIFTY,NFO,Options,28-DEC-23,Call,21500,6.9,6.9,6.9,6.9,0,112950,0
2023-12-01 09:16:00,NIFTY,NFO,Options,28-DEC-23,Call,21500,7,7.2,6.9,7,2250,112950,1
2023-12-01 09:17:00,NIFTY,NFO,Options,28-DEC-23,Call,21500,6.95,7.5,6.95,7.15,8050,114850,2
2023-12-01 09:18:00,NIFTY,NFO,Options,28-DEC-23,Call,21500,7.25,7.3,7.25,7.3,100,114850,3
2023-12-01 09:19:00,NIFTY,NFO,Options,28-DEC-23,Call,21500,7.25,7.35,7.25,7.35,550,114850,4
2023-12-01 09:20:00,NIFTY,NFO,Options,28-DEC-23,Call,21500,7.45,7.45,7.3,7.3,1450,121400,5
2023-12-01 09:21:00,NIFTY,NFO,Options,28-DEC-23,Call,21500,7.3,7.35,7.25,7.25,1550,121400,6
2023-12-01 09:22:00,NIFTY,NFO,Options,28-DEC-23,Call,21500,7.3,7.3,7.05,7.05,6750,121400,7
2023-12-01 09:23:00,NIFTY,NFO,Options,28-DEC-23,Call,21500,7.05,7.05,7.05,7.05,1200,124450,8
2023-12-01 09:24:00,NIFTY,NFO,Options,28-DEC-23,Call,21500,7.05,7.05,7,7,3750,124450,9
2023-12-01 09:25:00,NIFTY,NFO,Options,28-DEC-23,Call,21500,7,7,6.95,7,17650,124450,10
2023-12-01 09:26:00,NIFTY,NFO,Options,28-DEC-23,Call,21500,6.95,7,6.9,6.9,5000,138850,11
2023-12-01 09:27:00,NIFTY,NFO,Options,28-DEC-23,Call,21500,6.95,7,6.95,7,2500,138850,12
2023-12-01 09:28:00,NIFTY,NFO,Options,28-DEC-23,Call,21500,6.95,6.95,6.9,6.95,4800,138850,13
2023-12-01 09:29:00,NIFTY,NFO,Options,28-DEC-23,Call,21500,6.95,7.1,6.95,7.1,24300,142250,14
2023-12-01 09:30:00,NIFTY,NFO,Options,28-DEC-23,Call,21500,7.1,7.15,7.05,7.15,550,142250,15
2023-12-01 09:31:00,NIFTY,NFO,Options,28-DEC-23,Call,21500,7.1,7.15,7.1,7.15,550,142250,16
2023-12-01 09:32:00,NIFTY,NFO,Options,28-DEC-23,Call,21500,7.15,7.15,7.1,7.1,850,168050,17
2023-12-01 09:33:00,NIFTY,NFO,Options,28-DEC-23,Call,21500,7.1,7.15,7.1,7.15,14600,168050,18
2023-12-01 09:34:00,NIFTY,NFO,Options,28-DEC-23,Call,21500,7.15,7.15,7.1,7.15,22300,168050,19
2023-12-01 09:35:00,NIFTY,NFO,Options,28-DEC-23,Call,21500,7.15,7.15,7,7,19350,201200,20
2023-12-01 09:36:00,NIFTY,NFO,Options,28-DEC-23,Call,21500,7,7,6.9,6.9,8200,201200,21
2023-12-01 09:37:00,NIFTY,NFO,Options,28-DEC-23,Call,21500,6.85,6.9,6.85,6.9,1100,201200,22
2023-12-01 09:38:00,NIFTY,NFO,Options,28-DEC-23,Call,21500,6.85,6.85,6.45,6.45,61050,205950,23
2023-12-01 09:39:00,NIFTY,NFO,Options,28-DEC-23,Call,21500,6.45,6.5,6.45,6.45,2450,205950,24
2023-12-01 09:40:00,NIFTY,NFO,Options,28-DEC-23,Call,21500,6.3,6.3,6.2,6.2,10000,205950,25
2023-12-01 09:41:00,NIFTY,NFO,Options,28-DEC-23,Call,21500,6.25,6.25,6.25,6.25,2200,255000,26
2023-12-01 09:42:00,NIFTY,NFO,Options,28-DEC-23,Call,21500,6.3,6.3,6.25,6.3,4100,255000,27
2023-12-01 09:43:00,NIFTY,NFO,Options,28-DEC-23,Call,21500,6.35,6.35,6.35,6.35,3250,255000,28
2023-12-01 09:44:00,NIFTY,NFO,Options,28-DEC-23,Call,21500,6.35,6.4,6.35,6.35,2450,249600,29
2023-12-01 09:45:00,NIFTY,NFO,Options,28-DEC-23,Call,21500,6.3,6.35,6.3,6.35,50,249600,30
2023-12-01 09:46:00,NIFTY,NFO,Options,28-DEC-23,Call,21500,6.35,6.45,6.35,6.45,2650,249600,31
2023-12-01 09:47:00,NIFTY,NFO,Options,28-DEC-23,Call,21500,6.45,6.45,6.45,6.45,1150,248950,32
2023-12-01 09:48:00,NIFTY,NFO,Options,28-DEC-23,Call,21500,6.4,6.4,6.35,6.35,500,248950,33
2023-12-01 09:49:00,NIFTY,NFO,Options,28-DEC-23,Call,21500,6.4,6.4,6.4,6.4,2200,248950,34
2023-12-01 09:50:00,NIFTY,NFO,Options,28-DEC-23,Call,21500,6.4,6.45,6.3,6.45,2050,249150,35
2023-12-01 09:51:00,NIFTY,NFO,Options,28-DEC-23,Call,21500,6.5,6.55,6.45,6.5,6150,249150,36
2023-12-01 09:52:00,NIFTY,NFO,Options,28-DEC-23,Call,21500,6.5,6.55,6.5,6.55,1350,249150,37
2023-12-01 09:53:00,NIFTY,NFO,Options,28-DEC-23,Call,21500,6.55,6.65,6.55,6.65,1150,254450,38
2023-12-01 09:54:00,NIFTY,NFO,Options,28-DEC-23,Call,21500,6.75,6.95,6.75,6.95,1300,254450,39
2023-12-01 09:55:00,NIFTY,NFO,Options,28-DEC-23,Call,21500,6.85,6.85,6.85,6.85,0,254450,40
2023-12-01 09:56:00,NIFTY,NFO,Options,28-DEC-23,Call,21500,6.8,7.05,6.8,7.05,3800,253750,41
