datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
2023-12-05 09:52:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,910,910,910,910,0,0,0
2023-12-05 09:54:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,920,920,920,920,0,0,1
2023-12-05 12:05:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,963.25,963.25,963.25,963.25,0,100,2
2023-12-05 13:33:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,912.75,912.75,912.75,912.75,0,150,3
2023-12-05 15:04:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,880,880,880,880,0,200,4
2023-12-06 09:17:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,793,793,793,793,0,250,5
2023-12-06 09:24:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,784.5,784.5,784.5,784.5,0,250,6
2023-12-06 09:32:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,822,822,822,822,0,350,7
2023-12-06 09:48:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,800,800,800,800,0,400,8
2023-12-06 09:51:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,792.2,792.2,792.2,792.2,0,500,9
2023-12-06 09:56:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,796,796,796,796,0,500,10
2023-12-06 09:57:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,792,792,792,792,0,500,11
2023-12-06 11:54:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,800,800,800,800,0,550,12
2023-12-06 12:22:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,805,805,805,805,0,600,13
2023-12-06 13:05:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,840,840,840,840,0,650,14
2023-12-06 13:15:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,850,850,850,850,0,750,15
2023-12-06 13:37:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,811,811,811,811,0,850,16
2023-12-06 13:44:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,820,820,820,820,0,950,17
2023-12-06 13:53:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,816,816,816,816,0,1100,18
2023-12-06 14:29:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,785,785,785,785,0,1200,19
2023-12-06 14:33:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,789.1,789.1,789.1,789.1,0,1300,20
2023-12-06 14:38:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,783.8,783.8,783.8,783.8,0,1300,21
2023-12-06 14:43:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,774.45,774.45,774.45,774.45,0,1300,22
2023-12-06 14:44:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,771.85,771.85,771.85,771.85,0,1300,23
2023-12-06 15:01:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,766.6,766.6,766.6,766.6,0,1400,24
2023-12-06 15:27:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,770,770,770,770,0,1400,25
2023-12-07 09:15:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,790.5,790.5,790.5,790.5,0,1400,26
2023-12-07 09:37:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,810.8,810.8,810.8,810.8,0,1400,27
2023-12-07 09:40:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,815.85,815.85,815.85,815.85,0,1450,28
2023-12-07 10:28:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,828.45,832.55,828.45,829.1,100,1500,29
2023-12-07 10:33:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,833.8,833.8,833.8,833.8,0,1650,30
2023-12-07 10:41:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,812.7,812.7,812.7,812.7,0,1700,31
2023-12-07 10:50:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,813.9,813.9,813.9,813.9,0,1750,32
2023-12-07 10:51:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,804.65,804.65,804.65,804.65,0,1750,33
2023-12-07 10:52:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,804.5,804.5,804.5,804.5,0,1750,34
2023-12-07 10:53:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,795.6,795.6,795.6,795.6,0,1750,35
2023-12-07 11:04:00,NIFTY,NFO,Options,28-DEC-23,Put,21800,786.3,786.3,779.4,779.4,150,1650,36
